Original_MDOT_Name,Standardized_Name,Edge_Nodes,AADT_Current,Station_Description,Match_Type
HILLSWAY AVE,HILLSWAY AVE,"[{37596937, 37419021, 37617424, 37815709, 5284723487, 37586464, 5284723488, 37815718, 37309614, 37309616, 37815733, 37597376, 37815745, 37815756, 37733324, 37815758, 37252051, 37618135, 37803479, 37559515, 37573108, 37700213, 841466233}]",11873,HILLSWAY AVE - .05 mile north of MD 41,exact
HILLTOP AVE,HILLTOP AVE,"[{37766272, 49497627, 49507487, 49507488, 37766177, 37735846, 49507494, 37766188, 49413936, 37658165, 37682360, 49507514, 49473851, 37766206, 37578947, 49477445, 49507530, 49507531, 37686606, 49507534, 49488334, 37766230, 49507542, 49507544, 37766234, 49468508, 37899111, 3180047975, 37717610, 4974313838, 37766255, 37750900}]",2575,HILLTOP AVE - BETWEEN MD 702 & MIDDLEBOROUGH RD,exact
HILLTOP CIR,HILLTOP CIR,"[{37589282, 37879906, 37785538, 37589285, 37782491, 4744229414, 4744229416, 37782537, 37603243, 37603244, 37782605, 4744232627, 4744229399, 37691929, 367082106, 37691931}]",8093,HILLTOP CIR-.10 MI S OF HILLTOP RD,exact
HILLTOP RD,HILLTOP RD,"[{37461952, 908704033, 908703770, 908703715, 37578887, 908703687, 910093257, 37578921, 37578953, 37782605, 367082129, 37578932, 37578869, 367082106, 37578970, 908703611, 6078619421}]",7105,HILLTOP RD - BETWEEN MD 372 & ENT TO PARKING,exact
HILLTOP RD,HILLTOP RD,"[{37461952, 908704033, 908703770, 908703715, 37578887, 908703687, 910093257, 37578921, 37578953, 37782605, 367082129, 37578932, 37578869, 367082106, 37578970, 908703611, 6078619421}]",3085,HILLTOP RD - .10 MILE NORTH OF MD 372,exact
HILTON AVE,HILTON AVE,"[{37716864, 37589126, 37716870, 5638312980, 37623960, 5638315676, 37614237, 37716897, 5638312995, 37413156, 5638315687, 37716912, 37674163, 37644369, 37761491, 37619924, 37638872, 37630316, 37716851, 37716854, 37716858}]",1230,HILTON AVE - .10 MILE SOUTH OF MD 166,exact
HILTON PKWY,HILTON PKWY,"[{610317957, 610317958, 610317995, 49429869, 49405295, 49448272, 49511377, 49511384, 4243537555, 842871923, 49511318, 907697430, 1350659288, 49387035, 1115892702}]",33843,HILTON PKWY-.70 MI S OF NORTH AVE,exact
HILTON PKWY,HILTON PKWY,"[{610317957, 610317958, 610317995, 49429869, 49405295, 49448272, 49511377, 49511384, 4243537555, 842871923, 49511318, 907697430, 1350659288, 49387035, 1115892702}]",33843,HILTON PKWY-.70 MI S OF NORTH AVE,exact
HILTON PKWY,HILTON PKWY,"[{610317957, 610317958, 610317995, 49429869, 49405295, 49448272, 49511377, 49511384, 4243537555, 842871923, 49511318, 907697430, 1350659288, 49387035, 1115892702}]",33843,HILTON PKWY-.70 MI S OF NORTH AVE,exact
HILTON PKWY,HILTON PKWY,"[{610317957, 610317958, 610317995, 49429869, 49405295, 49448272, 49511377, 49511384, 4243537555, 842871923, 49511318, 907697430, 1350659288, 49387035, 1115892702}]",33843,HILTON PKWY-.70 MI S OF NORTH AVE,exact
HOFFMANVILLE RD,FALLS RD,"[{37500421, 37415943, 37657608, 37769224, 49415178, 49476105, 37685776, 37502481, 37884952, 49489950, 37661727, 37682209, 37102630, 37794342, 37883947, 49495597, 37569583, 49495602, 37885491, 37871669, 49495612, 37601349, 49495622, 1266232391, 49495626, 37605450, 49495628, 49495636, 49495639, 37839959, 37834332, 49495649, 37100134, 37881959, 49419372, 49495661, 664286830, 49442930, 3891220600, 37663865, 37566076, 7580785278, 49456254, 49495678, 37884035, 37885577, 49390219, 37853325, 37389458, 37733523, 49495707, 49495711, 49495723, 49482418, 7799441076, 49495732, 37435574, 49495735, 1862486196, 49495741, 49494206, 49400000, 49400009, 37885643, 3497181388, 49495763, 49495765, 37669590, 1412526808, 49470168, 49495774, 37879007, 37884129, 49495783, 49495785, 37631215, 37882613, 1041322744, 3093464826, 37808892, 37696266, 37703448, 37734682, 37639452, 1041322790, 37587243, 37633327, 37737777, 37775157, 37884215, 49390396, 1041322816, 37562690, 37655876, 49410885, 49386315, 37644109, 968161618, 393386326, 37778775, 37737307, 37799261, 37571935, 37417316, 37629285, 37816166, 37335912, 37561194, 37701997, 37840239, 37364594, 37701492, 37460868, 9730024324, 9730024326, 2329793930, 37642635, 1278749075, 9108900758, 37885336, 49484207, 49489329, 1041310659, 37716423, 4070077902, 3978850256, 9768381905, 804632017, 37684693, 671374294, 610334166, 37866969, 37665754, 37781977, 49495525, 37738474, 1266232298, 37701612, 7639618030, 7639618032, 37883384, 37701626, 49486331, 1266232316}]",2605,FALLS RD - .01 mile south of Carroll County Line,exact
HOLABIRD AVE,HOLABIRD AVE,"[{49466240, 37609985, 833591427, 833390085, 37609995, 37609996, 49398540, 49466255, 37591952, 833591570, 49466260, 37610007, 892620184, 892620185, 37610009, 49466266, 833592472, 833277599, 49466278, 49466280, 37398571, 49466283, 49466287, 49466288, 892120497, 49466289, 1407771190, 37609916, 1055543878, 37609933, 37609935, 892618448, 892618449, 37609938, 37609939, 37609941, 49411033, 37609947, 37609948, 8061277404, 2520050526, 37609951, 37609953, 49466338, 37609958, 37609965, 37609968, 49458288, 37609972, 37609973, 37266810, 37609979, 49466236, 37609981, 37609983}]",16745,HOLABIRD AVE-.10 MI W OF SOLLERS POINT RD,exact
HOLABIRD AVE,HOLABIRD AVE,"[{49466240, 37609985, 833591427, 833390085, 37609995, 37609996, 49398540, 49466255, 37591952, 833591570, 49466260, 37610007, 892620184, 892620185, 37610009, 49466266, 833592472, 833277599, 49466278, 49466280, 37398571, 49466283, 49466287, 49466288, 892120497, 49466289, 1407771190, 37609916, 1055543878, 37609933, 37609935, 892618448, 892618449, 37609938, 37609939, 37609941, 49411033, 37609947, 37609948, 8061277404, 2520050526, 37609951, 37609953, 49466338, 37609958, 37609965, 37609968, 49458288, 37609972, 37609973, 37266810, 37609979, 49466236, 37609981, 37609983}]",16745,HOLABIRD AVE-.10 MI W OF SOLLERS POINT RD,exact
HOLABIRD AVE,HOLABIRD AVE,"[{49466240, 37609985, 833591427, 833390085, 37609995, 37609996, 49398540, 49466255, 37591952, 833591570, 49466260, 37610007, 892620184, 892620185, 37610009, 49466266, 833592472, 833277599, 49466278, 49466280, 37398571, 49466283, 49466287, 49466288, 892120497, 49466289, 1407771190, 37609916, 1055543878, 37609933, 37609935, 892618448, 892618449, 37609938, 37609939, 37609941, 49411033, 37609947, 37609948, 8061277404, 2520050526, 37609951, 37609953, 49466338, 37609958, 37609965, 37609968, 49458288, 37609972, 37609973, 37266810, 37609979, 49466236, 37609981, 37609983}]",14310,HOLABIRD AVE-.10 MI W OF BROENING HWY,exact
HOLLINS FERRY RD,HOLLINS FERRY RD,"[{267692288, 37609730, 49437570, 49460100, 49460103, 49460105, 37654027, 37505039, 49460112, 37717265, 37568017, 37819282, 37482004, 49460113, 267692311, 5312161432, 5312161433, 37819416, 49460095, 49460120, 49460121, 49460126, 37360159, 4485963552, 49460128, 49460129, 37747875, 49460132, 2007733029, 37396005, 49460133, 37819304, 37384617, 37819306, 37806380, 2007733036, 49460140, 1856956463, 1325748015, 49460144, 37819314, 49460145, 37819324, 5490908349, 37384770, 37384773, 9092859591, 9092859592, 9092859593, 37290456, 37696731, 37668715, 49460075, 49460077, 37372014, 37655407, 49460080, 747615256, 37819251, 37792116, 49460085, 49460091, 4512323070, 37819263}]",11865,HOLLINS FERRY RD - .20 mile south of IS 695,exact
HOLLINS FERRY RD,HOLLINS FERRY RD,"[{267692288, 37609730, 49437570, 49460100, 49460103, 49460105, 37654027, 37505039, 49460112, 37717265, 37568017, 37819282, 37482004, 49460113, 267692311, 5312161432, 5312161433, 37819416, 49460095, 49460120, 49460121, 49460126, 37360159, 4485963552, 49460128, 49460129, 37747875, 49460132, 2007733029, 37396005, 49460133, 37819304, 37384617, 37819306, 37806380, 2007733036, 49460140, 1856956463, 1325748015, 49460144, 37819314, 49460145, 37819324, 5490908349, 37384770, 37384773, 9092859591, 9092859592, 9092859593, 37290456, 37696731, 37668715, 49460075, 49460077, 37372014, 37655407, 49460080, 747615256, 37819251, 37792116, 49460085, 49460091, 4512323070, 37819263}]",7295,HOLLINS FERRY RD - .01 MILE NORTH OF LANSDOWNE RD,exact
HOLLINS FERRY RD,HOLLINS FERRY RD,"[{267692288, 37609730, 49437570, 49460100, 49460103, 49460105, 37654027, 37505039, 49460112, 37717265, 37568017, 37819282, 37482004, 49460113, 267692311, 5312161432, 5312161433, 37819416, 49460095, 49460120, 49460121, 49460126, 37360159, 4485963552, 49460128, 49460129, 37747875, 49460132, 2007733029, 37396005, 49460133, 37819304, 37384617, 37819306, 37806380, 2007733036, 49460140, 1856956463, 1325748015, 49460144, 37819314, 49460145, 37819324, 5490908349, 37384770, 37384773, 9092859591, 9092859592, 9092859593, 37290456, 37696731, 37668715, 49460075, 49460077, 37372014, 37655407, 49460080, 747615256, 37819251, 37792116, 49460085, 49460091, 4512323070, 37819263}]",4485,HOLLINS FERRY RD - BETWEEN WATERVIEW AVE & ALASKA CT,exact
HOLLINS FERRY RD,HOLLINS FERRY RD,"[{267692288, 37609730, 49437570, 49460100, 49460103, 49460105, 37654027, 37505039, 49460112, 37717265, 37568017, 37819282, 37482004, 49460113, 267692311, 5312161432, 5312161433, 37819416, 49460095, 49460120, 49460121, 49460126, 37360159, 4485963552, 49460128, 49460129, 37747875, 49460132, 2007733029, 37396005, 49460133, 37819304, 37384617, 37819306, 37806380, 2007733036, 49460140, 1856956463, 1325748015, 49460144, 37819314, 49460145, 37819324, 5490908349, 37384770, 37384773, 9092859591, 9092859592, 9092859593, 37290456, 37696731, 37668715, 49460075, 49460077, 37372014, 37655407, 49460080, 747615256, 37819251, 37792116, 49460085, 49460091, 4512323070, 37819263}]",4925,HOLLINS FERRY RD - BETWEEN WATERVIEW AVE & HARMAN AVE,exact
HOLLY NECK RD,HOLLY NECK RD,"[{37567490, 37567491, 982614564, 37567301, 37567438, 37567470, 393521074, 37567445, 37567454, 37567477, 37567384, 37919742, 393519930, 5760974525, 37567358, 393520414}]",3205,HOLLY NECK RD - .10 MILE EAST OF BACK RIVER NECK RD,exact
HOMELAND AVE,HOMELAND AVE,"[{37878691, 49549636, 49549896, 49462346, 49556874, 974324750, 49515767, 49522361, 37600570}]",5562,HOMELAND AVE-.10 MI E OF MD139,exact
HOMEWOOD AVE,HOMEWOOD AVE,"[{49468548, 49528206, 49528208, 49538598, 49503790, 49513135, 49488701, 49456958, 49541183, 49541185, 49513158, 49501772, 49541208, 49541210, 49434205, 49514976, 49541220, 49516006, 49494761, 49514351, 49392370, 49526648}]",3374,HOMEWOOD AVE - Between US 1 (North Ave) & Kirk Ave,exact
HONEYGO BLVD,HONEYGO BLVD,"[{37581312, 1375436807, 37581320, 1375436814, 37581326, 3517516306, 1375430676, 37581341, 1375440416, 37429800, 2460002860, 884835885, 2460002877, 2892660292, 8709856324, 8709856325, 2892660297, 37580877, 1375429712, 692315217, 37580883, 37429850, 884804711, 37580904, 37558890, 37580906, 3306929260, 884885103, 37337716, 37383292, 5693269120, 37580931, 37580954, 37580957, 37580967, 37423297, 37534401, 884801731, 660503240, 1375429834, 37558990, 884885203, 37289189, 703007465, 37581046, 9464708855, 9464708857, 37581051, 884885252, 37581066, 37581069, 884802319, 37581074, 884885275, 37581090, 911971107, 37581098, 387542829, 387542836, 884802357, 37502779, 37502782, 692315458, 388416836, 37386566, 911975754, 2904982348, 37581139, 692315475, 1140265305, 37581147, 37581149, 387542878, 37287281, 37287282, 8270462833, 1140265333, 8270462837, 37386615, 388418935, 37581179, 8270462846, 37581183, 2892660608, 692315535, 884804496, 692315537, 37581202, 884803474, 388416915, 37581209, 692315547, 884802472, 37581225, 37581240, 1140270011, 692315071, 11051546050, 692315600, 11051546069, 37581286, 37581300, 1375430648}]",20960,HONEYGO BLVD-.20 MI W OF JOPPA RD,exact
HONEYGO BLVD,HONEYGO BLVD,"[{37581312, 1375436807, 37581320, 1375436814, 37581326, 3517516306, 1375430676, 37581341, 1375440416, 37429800, 2460002860, 884835885, 2460002877, 2892660292, 8709856324, 8709856325, 2892660297, 37580877, 1375429712, 692315217, 37580883, 37429850, 884804711, 37580904, 37558890, 37580906, 3306929260, 884885103, 37337716, 37383292, 5693269120, 37580931, 37580954, 37580957, 37580967, 37423297, 37534401, 884801731, 660503240, 1375429834, 37558990, 884885203, 37289189, 703007465, 37581046, 9464708855, 9464708857, 37581051, 884885252, 37581066, 37581069, 884802319, 37581074, 884885275, 37581090, 911971107, 37581098, 387542829, 387542836, 884802357, 37502779, 37502782, 692315458, 388416836, 37386566, 911975754, 2904982348, 37581139, 692315475, 1140265305, 37581147, 37581149, 387542878, 37287281, 37287282, 8270462833, 1140265333, 8270462837, 37386615, 388418935, 37581179, 8270462846, 37581183, 2892660608, 692315535, 884804496, 692315537, 37581202, 884803474, 388416915, 37581209, 692315547, 884802472, 37581225, 37581240, 1140270011, 692315071, 11051546050, 692315600, 11051546069, 37581286, 37581300, 1375430648}]",27200,HONEYGO BLVD-BETWEEN CAMPBELL BLVD & MERCANTILE RD,exact
HONEYGO BLVD,HONEYGO BLVD,"[{37581312, 1375436807, 37581320, 1375436814, 37581326, 3517516306, 1375430676, 37581341, 1375440416, 37429800, 2460002860, 884835885, 2460002877, 2892660292, 8709856324, 8709856325, 2892660297, 37580877, 1375429712, 692315217, 37580883, 37429850, 884804711, 37580904, 37558890, 37580906, 3306929260, 884885103, 37337716, 37383292, 5693269120, 37580931, 37580954, 37580957, 37580967, 37423297, 37534401, 884801731, 660503240, 1375429834, 37558990, 884885203, 37289189, 703007465, 37581046, 9464708855, 9464708857, 37581051, 884885252, 37581066, 37581069, 884802319, 37581074, 884885275, 37581090, 911971107, 37581098, 387542829, 387542836, 884802357, 37502779, 37502782, 692315458, 388416836, 37386566, 911975754, 2904982348, 37581139, 692315475, 1140265305, 37581147, 37581149, 387542878, 37287281, 37287282, 8270462833, 1140265333, 8270462837, 37386615, 388418935, 37581179, 8270462846, 37581183, 2892660608, 692315535, 884804496, 692315537, 37581202, 884803474, 388416915, 37581209, 692315547, 884802472, 37581225, 37581240, 1140270011, 692315071, 11051546050, 692315600, 11051546069, 37581286, 37581300, 1375430648}]",34120,HONEYGO BLVD-.20 MI E OF MD43,exact
HOOKS LA,HOOKS LA,"[{37911680, 37780007, 37573261, 37916721, 37612467, 37808374, 37561368}]",11375,HOOKS LA - .10 MILE EAST OF GREEN TREE RD,exact
HOOKS LA,HOOKS LA,"[{37911680, 37780007, 37573261, 37916721, 37612467, 37808374, 37561368}]",10435,HOOKS LA - BETWEEN MD 140 & GREEN TREE RD,exact
HOPKINS PL,HOPKINS PL,"[{49474648, 49505284, 49456629}]",7495,HOPKINS PL - BETWEEN W. BALTIMORE ST & W. LOMBARD ST,exact
HORNERS LA,HORNERS LA,"[{49417989, 49500553, 49477899, 49417935, 49522898, 49522901, 49464855, 49522906, 49497947, 49522908}]",394,HORNERS LA - 100ft north of Alricks Way,exact
HORST AVE,HORST AVE,"[{37835370, 37830768, 37678708, 37688120, 37691389}]",4865,HORST AVE - .10 MILE SOUTH OF CHESACO AVE,exact
HULL ST,HULL ST,"[{49537761, 49479427, 3076878890, 1407138583, 49535054, 1253152498, 1095643956, 49537751, 898675871}]",1775,HULL ST-.10 MI N OF FORT AVE,exact
HUNTINGDON AVE,HUNTINGDON AVE,"[{49550144, 49500322, 1251299618, 9785569319, 49495131, 49470511, 49538427, 49538423, 49538425, 1251299578, 49504827, 49538431}]",4502,HUNTINGDON AVE-.10 MI S OF 28TH ST,exact
HYDE PARK RD,HYDE PARK RD,"[{37616992, 602425124, 602425158, 37617096, 37617001, 602425161, 37617067, 602425118, 37617013, 37617109, 37617081, 602425148, 37616989, 37616990}]",4695,HYDE PARK RD - BETWEEN MD 702 & S. MARLYN AVE,exact
ILCHESTER RD,CHESTER RD,"[{37581664, 966422315, 37644980, 37644979}]",2220,ILCHESTER RD-.40 MI S OF BALTIMORE CO/L,fuzzy
INGLESIDE AVE,INGLESIDE AVE,"[{37682304, 37623041, 37682308, 37648141, 37477773, 37682447, 37682321, 37680761, 37682323, 37682324, 393490964, 37631255, 37562648, 4289416729, 994044315, 37682337, 49378852, 4244903206, 37682342, 37638312, 37668137, 37682345, 268705707, 37682348, 37474605, 37682349, 37682351, 37660711, 37682353, 37682355, 37596468, 37682357, 994044724, 37682359, 37422264, 37682360, 49492927, 37610304, 49492929, 1978868802, 1905375300, 960965958, 49492934, 37682248, 37682249, 37548746, 37682251, 49492937, 37682253, 37682382, 49492940, 37682256, 393491026, 37603158, 37682263, 37682390, 37682265, 37682393, 37682273, 37682279, 37682281, 37682283, 37682284, 37682287, 37450737, 37372277, 37560697, 37680763, 37628156, 37518077}]",9775,INGLESIDE AVE over IS 695 STRUC #3123,exact
INTERSTATE AVE,INTERSTATE AVE,"[{49392485, 49392390, 49392487, 49406469, 966516453, 49392477, 49392493, 49392494, 49461101, 966516371, 49428122, 631168061, 49392510, 49428127}]",17362,INTERSTATE AVE-.05 MI E OF PONCA ST,exact
IVY MILL RD,IVY MILL RD,"[{37609184, 37826851, 37637157, 37646277, 37573704, 37038027, 37739189}]",1103,IVY MILL RD - .10 mile north of Deer Park Rd,exact
JARRETTSVILLE PIKE,JARRETTSVILLE PIKE,"[{37604994, 37863333, 37606183, 37481419, 37443501, 37890095, 37877008, 37704784, 37861104, 37715091, 37793521, 37890261, 37608178, 37890160, 37696593, 37714135, 37852795, 37481372}]",12904,MD146-.50 MI S OF MD145,exact
JARRETTSVILLE PIKE,JARRETTSVILLE PIKE,"[{37604994, 37863333, 37606183, 37481419, 37443501, 37890095, 37877008, 37704784, 37861104, 37715091, 37793521, 37890261, 37608178, 37890160, 37696593, 37714135, 37852795, 37481372}]",13720,MD146-.10 MI N OF BALTIMORE CO/L,exact
JARRETTSVILLE PIKE,JARRETTSVILLE PIKE,"[{37604994, 37863333, 37606183, 37481419, 37443501, 37890095, 37877008, 37704784, 37861104, 37715091, 37793521, 37890261, 37608178, 37890160, 37696593, 37714135, 37852795, 37481372}]",9810,MD146-.20 MI S OF MERRYMANS MILL RD,exact
JENIFER RD,JENIFER RD,"[{37635776, 37635778, 37633796, 37635815, 37565898, 37635722, 37597900, 1203834541, 37635727, 37635792, 37635731, 37635732, 37635800, 37635770}]",5300,JENIFER RD-.20 MI N OF TIMONIUM RD,exact
JERUSALEM RD,JERUSALEM RD,"[{37591136, 37591171, 37591142, 37591154, 2512431192, 37587547}]",5735,JERUSALEM RD -.10 MILE NORTH OF BRADSHAW RD,exact
JOH AVE,JOH AVE,"[{5256797441, 49472102, 49459944, 49468617, 8027115016, 49476875, 3386865037, 49490330, 49533905, 5256797436, 49501973, 49564247, 49458106, 3659126460, 49528862}]",11725,JOH AVE - BETWEEN US 1 AL & BLOOMFIELD AVE,exact
JOHNNYCAKE RD,JOHNNYCAKE RD,"[{37687680, 37687681, 37687810, 37240963, 37625475, 37565573, 37687812, 37687679, 37687560, 1367931027, 37687706, 37636123, 37687707, 37319325, 37680798, 37682337, 37635238, 37607078, 37586089, 9662322093, 960966062, 37687735, 8484994490, 37441086, 37585986, 37683526, 37687753, 37371857, 37687768, 37687776, 37687520, 37687524, 37660261, 37687654, 37687527, 37687656, 37687658, 37687660, 37687662, 37687536, 37680753, 37362676, 37617271, 37687676, 37687678, 994225919}]",6865,JOHNNYCAKE RD - BETWEEN FAIRBROOK RD & MAURY DR,exact
JOHNNYCAKE RD,JOHNNYCAKE RD,"[{37687680, 37687681, 37687810, 37240963, 37625475, 37565573, 37687812, 37687679, 37687560, 1367931027, 37687706, 37636123, 37687707, 37319325, 37680798, 37682337, 37635238, 37607078, 37586089, 9662322093, 960966062, 37687735, 8484994490, 37441086, 37585986, 37683526, 37687753, 37371857, 37687768, 37687776, 37687520, 37687524, 37660261, 37687654, 37687527, 37687656, 37687658, 37687660, 37687662, 37687536, 37680753, 37362676, 37617271, 37687676, 37687678, 994225919}]",7515,JOHNNYCAKE RD - .10 MILE NORTH OF US 40,exact
JOHNNYCAKE RD,JOHNNYCAKE RD,"[{37687680, 37687681, 37687810, 37240963, 37625475, 37565573, 37687812, 37687679, 37687560, 1367931027, 37687706, 37636123, 37687707, 37319325, 37680798, 37682337, 37635238, 37607078, 37586089, 9662322093, 960966062, 37687735, 8484994490, 37441086, 37585986, 37683526, 37687753, 37371857, 37687768, 37687776, 37687520, 37687524, 37660261, 37687654, 37687527, 37687656, 37687658, 37687660, 37687662, 37687536, 37680753, 37362676, 37617271, 37687676, 37687678, 994225919}]",3325,JOHNNYCAKE RD -.10 MILE WEST OF ROLLING ROAD,exact
JOHNNYCAKE RD,JOHNNYCAKE RD,"[{37687680, 37687681, 37687810, 37240963, 37625475, 37565573, 37687812, 37687679, 37687560, 1367931027, 37687706, 37636123, 37687707, 37319325, 37680798, 37682337, 37635238, 37607078, 37586089, 9662322093, 960966062, 37687735, 8484994490, 37441086, 37585986, 37683526, 37687753, 37371857, 37687768, 37687776, 37687520, 37687524, 37660261, 37687654, 37687527, 37687656, 37687658, 37687660, 37687662, 37687536, 37680753, 37362676, 37617271, 37687676, 37687678, 994225919}]",10435,JOHNNYCAKE RD - .10 MILE NORTH OF INGLESIDE AVE,exact
JONES FALLS EXPWY,JONES FALLS EXPY,"[{49386640, 49540624, 968048402, 49398555, 37412380, 49540508, 268579615, 49436192, 8610702368, 8610702367, 96993444, 37319077, 49408167, 49414951, 268576553, 49540785, 49433779, 49540659, 966982837, 37412531, 33131447, 33131448, 49540281, 1862486199, 1862486197, 671374274, 96109511, 49418446, 49391823, 33131472, 49540816, 49540946, 268573010, 37558356, 9768381905, 49388633, 968161630, 49408353, 49458916, 268576743, 49431788, 664286830, 37367156, 49540599, 49434620, 832289021}]",28780,MD25A-.30 MI N OF IS695,fuzzy
JONES FALLS EXPWY,JONES FALLS EXPY,"[{49386640, 49540624, 968048402, 49398555, 37412380, 49540508, 268579615, 49436192, 8610702368, 8610702367, 96993444, 37319077, 49408167, 49414951, 268576553, 49540785, 49433779, 49540659, 966982837, 37412531, 33131447, 33131448, 49540281, 1862486199, 1862486197, 671374274, 96109511, 49418446, 49391823, 33131472, 49540816, 49540946, 268573010, 37558356, 9768381905, 49388633, 968161630, 49408353, 49458916, 268576743, 49431788, 664286830, 37367156, 49540599, 49434620, 832289021}]",88738,IS 83 - .04 Mile North of Old Pimlico Rd (ATR#76),fuzzy
JONES FALLS EXPWY,JONES FALLS EXPY,"[{49386640, 49540624, 968048402, 49398555, 37412380, 49540508, 268579615, 49436192, 8610702368, 8610702367, 96993444, 37319077, 49408167, 49414951, 268576553, 49540785, 49433779, 49540659, 966982837, 37412531, 33131447, 33131448, 49540281, 1862486199, 1862486197, 671374274, 96109511, 49418446, 49391823, 33131472, 49540816, 49540946, 268573010, 37558356, 9768381905, 49388633, 968161630, 49408353, 49458916, 268576743, 49431788, 664286830, 37367156, 49540599, 49434620, 832289021}]",89880,IS83-.20 MI N OF RUXTON RD,fuzzy
JONES FALLS EXPWY,JONES FALLS EXPY,"[{49386640, 49540624, 968048402, 49398555, 37412380, 49540508, 268579615, 49436192, 8610702368, 8610702367, 96993444, 37319077, 49408167, 49414951, 268576553, 49540785, 49433779, 49540659, 966982837, 37412531, 33131447, 33131448, 49540281, 1862486199, 1862486197, 671374274, 96109511, 49418446, 49391823, 33131472, 49540816, 49540946, 268573010, 37558356, 9768381905, 49388633, 968161630, 49408353, 49458916, 268576743, 49431788, 664286830, 37367156, 49540599, 49434620, 832289021}]",54252,IS83-.10 MI N OF FAYETTE ST,fuzzy
JONES FALLS EXPWY,JONES FALLS EXPY,"[{49386640, 49540624, 968048402, 49398555, 37412380, 49540508, 268579615, 49436192, 8610702368, 8610702367, 96993444, 37319077, 49408167, 49414951, 268576553, 49540785, 49433779, 49540659, 966982837, 37412531, 33131447, 33131448, 49540281, 1862486199, 1862486197, 671374274, 96109511, 49418446, 49391823, 33131472, 49540816, 49540946, 268573010, 37558356, 9768381905, 49388633, 968161630, 49408353, 49458916, 268576743, 49431788, 664286830, 37367156, 49540599, 49434620, 832289021}]",106982,IS83-.50 MI S OF NORTHERN PKWY,fuzzy
JONES FALLS EXPWY,JONES FALLS EXPY,"[{49386640, 49540624, 968048402, 49398555, 37412380, 49540508, 268579615, 49436192, 8610702368, 8610702367, 96993444, 37319077, 49408167, 49414951, 268576553, 49540785, 49433779, 49540659, 966982837, 37412531, 33131447, 33131448, 49540281, 1862486199, 1862486197, 671374274, 96109511, 49418446, 49391823, 33131472, 49540816, 49540946, 268573010, 37558356, 9768381905, 49388633, 968161630, 49408353, 49458916, 268576743, 49431788, 664286830, 37367156, 49540599, 49434620, 832289021}]",92122,IS83-.20 MI S OF 28TH ST,fuzzy
JONES FALLS EXPWY,JONES FALLS EXPY,"[{49386640, 49540624, 968048402, 49398555, 37412380, 49540508, 268579615, 49436192, 8610702368, 8610702367, 96993444, 37319077, 49408167, 49414951, 268576553, 49540785, 49433779, 49540659, 966982837, 37412531, 33131447, 33131448, 49540281, 1862486199, 1862486197, 671374274, 96109511, 49418446, 49391823, 33131472, 49540816, 49540946, 268573010, 37558356, 9768381905, 49388633, 968161630, 49408353, 49458916, 268576743, 49431788, 664286830, 37367156, 49540599, 49434620, 832289021}]",88738,IS 83 - .04 Mile North of Old Pimlico Rd (ATR#76),fuzzy
JONES FALLS EXPWY,JONES FALLS EXPY,"[{49386640, 49540624, 968048402, 49398555, 37412380, 49540508, 268579615, 49436192, 8610702368, 8610702367, 96993444, 37319077, 49408167, 49414951, 268576553, 49540785, 49433779, 49540659, 966982837, 37412531, 33131447, 33131448, 49540281, 1862486199, 1862486197, 671374274, 96109511, 49418446, 49391823, 33131472, 49540816, 49540946, 268573010, 37558356, 9768381905, 49388633, 968161630, 49408353, 49458916, 268576743, 49431788, 664286830, 37367156, 49540599, 49434620, 832289021}]",98602,IS83-.30 MI S OF NORTH AVE,fuzzy
JONES FALLS EXPWY,JONES FALLS EXPY,"[{49386640, 49540624, 968048402, 49398555, 37412380, 49540508, 268579615, 49436192, 8610702368, 8610702367, 96993444, 37319077, 49408167, 49414951, 268576553, 49540785, 49433779, 49540659, 966982837, 37412531, 33131447, 33131448, 49540281, 1862486199, 1862486197, 671374274, 96109511, 49418446, 49391823, 33131472, 49540816, 49540946, 268573010, 37558356, 9768381905, 49388633, 968161630, 49408353, 49458916, 268576743, 49431788, 664286830, 37367156, 49540599, 49434620, 832289021}]",125185,IS83-.10 MI N OF 41ST ST STRUC #3207,fuzzy
JOPPA RD,JOPPA RD,"[{37651713, 11003213061, 37633926, 37686279, 37686284, 37651726, 37686287, 986684688, 1616818705, 37317778, 37686290, 383981072, 37686418, 37686422, 37096599, 37651479, 1139207696, 37651582, 37573402, 37582748, 37651740, 37600540, 37619485, 37643552, 692315547, 1886224162, 1139207714, 1139207719, 37552809, 2291762219, 37686444, 1616818733, 37418158, 37653165, 387542829, 6038093070, 37616306, 37651635, 37539378, 37539379, 37592886, 37651762, 1139207735, 37409209, 393533626, 2291762232, 2291762234, 822124350, 2291762241, 37686337, 1886224208, 37602771, 37686355, 37686270, 393533527, 37365464, 1139207727, 37686494, 1886224223, 1140067936, 37686245, 1886224234, 37038315, 37540844, 37651694, 37478128, 37686257, 37608689, 37632118, 1616757750, 37686264, 1727207038}]",9695,JOPPA RD - BETWEEN CHAPEL RD & HONEYGO BLVD,exact
